а	而
интересно	有趣地
интересный	有趣的
интересоваться	感兴趣
Интернет	网络
искусство	艺术
испанец	西班牙人
испанский	西班牙的
историк	历史学家
исторический	历史的
история	历史
их	他们的
июль	七月
июнь	六月
кабинет	办公室;书房
каждый	每个
как	怎样
какой	怎样的
карандаш	铅笔
карта	地图
картина	画
картофель	土豆
касса	收银台
кафе	咖啡馆
квартира	公寓
килограмм	千克
километр	千米
кино	电影
киоск	售货亭
китаец	中国人
китайский	中国的
класс	班级
клуб	俱乐部
ключ	钥匙
книга	书
книжный	书的
когда	什么时候
колбаса	香肠
комедия	喜剧
комната	房间
композитор	作曲家
конверт	信封
конец	结束
конечно	结束地
концерт	音乐会
кончать (кончить)	结束
копейка	戈比
коричневый	褐色的
костюм	西装
который	哪个
кофе	咖啡
кошка	猫
красивый	漂亮的
красный	红色的
кресло	座椅
кто	谁
куда	去哪里
купить (покупать)	买
курить	抽烟
курица	鸡
курс	航向;年级 (年级;航向)
кухня	厨房
лампа	灯
левый	左边的
лежать	躺
лекция	演讲;义
лето	夏天
лёгкий	容易的;简单
литература	文学
лицо	脸
ложка	勺
любимый	敬爱的;可
любить	爱
любовь	爱情
люди	人们
магазин	商店
магнитофон	录音机
май	五月
маленький	小的
мало	少地
мальчик	小男孩
мама	妈
марка	标记;邮票
март	三月
масло	奶油
математик	数学家
математика	数学
мать	母亲
машина	车
медицина	医学
медленно	慢地
менеджер	管理者;经理
место	地方
месяц	月
метр	米
метро	地铁
мечтать	梦想
милиция (полиция)	公安局
минута	分钟
мир	世界
младший	年幼的
много	很多地
может быть	可能
можно	可以
мой	我的
молодой	年轻的
молоко	牛奶
море	海
мороженое	冰激凌
москвич	莫斯科人
московский	莫斯科的
мочь (смочь)	能;可以
муж	丈夫
мужской	男性的
мужчина	男人
музей	博物馆
музыка	音乐
музыкант	音乐家
мы	我们
мясо	肉
на	在... 上
надо	应该
назад	在...之前
называться	叫做
написать (писать)	写
например	举个例子
нарисовать (рисовать)	画
народ	人民
народный	人民的
наука	科学
научный	科学的
находиться	在
национальный	国家的;民族
начинать (начать)	开始
наш	我们的
не	不
недавно	不久
недалеко	不远
неделя	周;星期
нельзя	禁止
немец	德国人
немецкий	德国的
несколько	有些;几个
нет	不
не только... но и...	不仅...而且...
никогда	从来不
никто	没人
никуда	哪里也不
ничего	没事
но	但是
новость	新闻
новый	新的
нога	脚;腿
нож	刀
номер	号码
нормально	正常地
ночь	晚上
ноябрь	十一月
нравиться (понравиться)	喜欢
нужен	-需要
нужно	需要
о (об)	关于
обед	午饭
обедать (пообедать)	吃午饭
обувь	鞋
общежитие	宿舍
обычно	通常
обязательно	必须
овощи	蔬菜
одежда	衣服
один	一
одиннадцать	十一
окно	窗户
окончить	结束
октябрь	十月
он	他
она	她
оно	它
они	他们
опаздывать (опоздать)	迟到
опера	歌剧
осень	秋天
остановка	车站
осторожно	小心;谨慎
ответ	回答
отвечать (ответить)	回答
отдыхать	休息
отец	父亲
открывать (открыть)	-打开
открыт	打开
открытка	明信片
откуда	从哪
очень	非常
очки	眼镜
ошибка	失误
пальто	外套
памятник	文物
папа	爸
парк	公园
паспорт	护照
первый	第一
переводчик	翻译
передача (радиопередача/ телепередача)	转播
перерыв	休息
переход	通过;转换
песня	歌曲
петь	唱歌
пианино	钢琴
пиво	啤酒
писатель	作家
писать (написать)	写
письмо	信
пить (выпить)	喝
план	计划
платье	连衣裙
плохо	不好地
плохой	不好的
площадь	广场
по-английски	用英文
повторить (повторять)	复习;重
погода	天气
подарить (дарить)	赠送
подарок	礼物
подруга	女朋友
поезд	火车
поехать (ехать)	乘车出发
пожалуйста	请
позавтракать (завтракать)	吃早餐
позвать	叫;邀请
позвонить (звонить)	打电话
поздно	晚地
познакомиться	认识
по-испански	用西班牙语
пойти	步行出发;出发
показать (показывать)	展示;出
по-китайски	用中文
покупать (купить)	买
поликлиника	诊所
половина	一半
получать (получить)	收到
помогать (помочь)	帮助
понедельник	周一
по-немецки	用德语
понимать (понять)	理解
понравиться (нравиться)	喜欢
понятно	明白
пообедать (обедать)	吃午饭
попросить (просить)	问;请求
по-русски	用俄语
послать (посылать)	派遣;寄送
после	在...之后
посмотреть (смотреть)	看
построить (строить)	建设
посылать (послать)	派遣;寄送
потом	以后
потому что	因为
поужинать (ужинать)	吃晚餐
по-французски	用法语
почему	为什么
почта	邮局
почти	几乎
поэт	诗人
правильно	正确地
правый	右边的
прав	右
правительство	政府
праздник	节日
преподаватель	教师
преподавательница	女教师
приглашать (пригласить)	邀请
приехать	乘车到达
прийти	步行到达
природа	大自然
приятно	乐意地
проблема	问题
программа	程序
продолжать	继续
просить (попросить)	问;请求
проспект	街道
профессия	职业
прочитать (читать)	阅读
пятнадцать	十五
пятница	周五
пять	五
пятьдесят	五十
пятьсот	五百
работа	-工作
работать	工作
рад	高兴
радио	广播
раз	次
разговаривать	交谈
разный	不同的
район	区域
рано	行;早
рассказ	故事
рассказывать (рассказать)	讲述
редко	少地
результат	结果
река	河
ресторан	饭店
решать (решить)	解决
рис	米
рисовать (нарисовать)	画
родина	祖国；故乡
родители	父母
родиться	出生
родной	故乡的;熟悉的
рождение	出生
день рождения	生日
российский	俄罗斯的
рубашка	衬衫
рубль	卢布
рука	手
русский	俄罗斯人;的
русско-китайский (словарь)	俄-汉的
ручка	钢笔
рыба	鱼
c (со)	和...
cад	花园
салат	沙拉
сам	自己
самолёт	飞机
сахар	糖
свободный	自由的
свободное время	空闲时间
свой	自己的
сделать (делать)	做
себя	自己
сегодня	今天
сейчас	现在
семнадцать	十七
семь	七
семьдесят	七十
семьсот	七百
семья	家庭
сентябрь	十二月
серый	灰色的
серьёзный	严肃的
сестра	姐妹
сидеть	坐
сильный	有力的;强壮
синий	蓝色的
сказать (говорить)	说
сколько	多少
скоро	快要
слева	在左边
следующий	下一个
словарь	字典
слово	单词
слушать	听
смелый	勇敢的
смотреть (посмотреть)	看
смочь (мочь)	能够
сначала	开始地
снег	雪
собака	小狗
современный	现代的
согласен	同意
сок	果汁
солнце	太阳;阳光
соль	盐
сорок	四十
сосед	邻居
соседка	女邻居
спасибо	谢
спать	睡觉
спокойно	安静地
спокойный	安静的
Спокойной ночи!	晚安
спорт	运动
спортсмен	运动员
справа	在右边
спрашивать (спросить)	问
среда	周三;环境
стадион	体育场
станция	车站
старший	较大的
старый	旧的;老
стать	成为
cтатья	文章
стена	墙
стихи	诗歌
сто	百
стоить	值
стол	桌子
столица	首都
столовая	食堂
стоять	站;站在
страна	国家
страница	页
строить (построить)	建设
студент	学生
студентка	女学生
студенческий	学生的
стул	椅子
суббота	周六
сувенир	纪念品
сумка	包
суп	汤
счастливый	幸福的
счастье	幸福
съесть (есть)	吃
сын	儿子
сыр	奶油
сюда	这里
так	这样
такси	出租车
талантливый	有天赋的
там	那里
танцевать	跳舞
твой	你的
театр	剧院
текст	文章
телевизор	电视
телеграмма	电报
телефон	电话
температура	温度
теннис	网球
теперь	现在
тепло	热地
тетрадь	练习本
тихо	安静
товарищ	同志
тоже	也
только	仅
трамвай	电车
транспорт	交通运输
три	三
тридцать	三十
тринадцать	十三
триста	三百
троллейбус	无轨电车
трудный	难的
туда	那里
турист	游客
тут	这里
ты	你
тысяча	千
увидеть (видеть)	看
удовольствие	高兴
С удовольствием!	乐意；荣幸
уже	已经
ужин	晚饭
ужинать (поужинать)	吃完饭(吃晚饭)
улица	街道
умереть (умирать)	死
умный	聪明的
университет	大学
упражнение	练习
урок	课
устать	累
утро	早上
утром	在早上
учебник	教科书
ученик	学生
ученица	女学生
учёный	科学家
учитель	教师
учительница	女教师
учить (выучить)	学习;教
учиться	学习
факультет	系
фамилия	姓氏
февраль	二月
физик	物理学家
физика	物理
филолог	文学家;语言
философ	哲学家
фильм	电影
фирма	公司
фотоаппарат	照相机
фотографировать	照相
фотография	照片
фраза	句子
француженка	法国女人
француз	法国人
французский	法国的
фрукты	水果
футбол	足球
футболист	足球运动员
характер	性格;特点
химик	化学家
химия	化学
хлеб	面包
ходить	走
хозяин	老板;主人
хоккей	冰球
холодно	冷地
хороший	好的
хорошо	好地
хотеть	想
художник	画家
цвет	花;颜色
цветы	花;颜色
цена	价格
центр	中心
цирк	马戏团
цифра	数字
чай	茶
чайник	水壶
час	小时
часто	经常
часы	表
чашка	茶杯
чей	谁的
человек	人
чемпион	冠军
четверг	周四
четыре	四
четыреста	四百
четырнадцать	十四
чёрный	黑色的
число	数字
читать (прочитать)	阅读
что	什么
чувствовать	感觉
шапка	帽子
шарф	围巾
шахматы	国际象棋
шестнадцать	十六
шесть	六
шестьдесят	六十
шестьсот	六百
шкаф	柜子
школа	学校
шоколад	巧克力
экзамен	考试
экономика	经济
экономист	经济学家
экономический	经济的
экскурсия	游览
экскурсовод	导游
этаж	楼层
это	这个
этот (эта/это/эти)	这个
юмор	幽默
юрист	律师
я	我
яблоко	苹果
язык	语言
русский язык	俄语
яйцо	鸡蛋
январь	一月
